SUID,name,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
6924,FOXP3,0.00559839,0.30412371,0.08791209,5,14,11,FALSE,,21.21428571,3,0,FALSE,0,FOXP3,3266
6899,ETS1,0.00548078,0.37460317,0.06190476,5,17,9,FALSE,,16.46666667,8,2,FALSE,0,ETS1,2884
7081,PAX5,0.00466448,0.35435435,0.1,5,7,1,FALSE,,27.33333333,6,1,FALSE,0,PAX5,1977
6840,CTNNB1,0.00437189,0.35329341,0.13333333,5,16,10,FALSE,,25,6,1,FALSE,0,CTNNB1,2644
7147,SMAD4,0.004218,0.31550802,0.08181818,5,12,5,FALSE,,23,7,1,FALSE,0,SMAD4,2196
7038,NCOR1,0.00418015,0.34104046,0.16666667,5,7,3,FALSE,,36.71428571,4,0,FALSE,0,NCOR1,2232
6892,PGR,0.00398426,0.38943894,0.1474359,4,15,8,FALSE,,33.23076923,7,2,FALSE,0,PGR,2589
7207,TBP,0.0039803,0.32869081,0.1,5,16,11,FALSE,,24.9375,5,0,FALSE,0,TBP,2488
7093,PIAS3,0.00387897,0.34911243,0.25,5,6,2,FALSE,,30.2,4,1,FALSE,0,PIAS3,1719
6833,CREB1,0.0038359,0.35014837,0.0875,5,16,6,FALSE,,21.75,10,0,FALSE,0,CREB1,1586
7040,NF1,0.00379963,0.35649547,0.08455882,4,17,12,FALSE,,20.41176471,5,0,FALSE,0,NF1,2516
7210,TCF4,0.0037377,0.32065217,0.04395604,5,14,8,FALSE,,19.78571429,6,0,FALSE,0,TCF4,2229
6928,GATA1,0.00356176,0.28571429,0.03787879,6,12,8,FALSE,,12,4,0,FALSE,0,GATA1,1939
6964,HSF1,0.00348037,0.36085627,0.13888889,5,9,4,FALSE,,28.11111111,5,0,FALSE,0,HSF1,1745
7132,RUNX3,0.00320163,0.28850856,0.08333333,5,9,5,FALSE,,20.11111111,4,0,FALSE,0,RUNX3,1565
7098,PPARA,0.00315224,0.28571429,0.1025641,6,13,9,FALSE,,19.23076923,4,0,FALSE,0,PPARA,1871
7143,SMAD3,0.00306521,0.32152589,0.08333333,5,13,5,FALSE,,24.15384615,8,0,FALSE,0,SMAD3,2340
7174,SP3,0.00281697,0.35866261,0.15151515,5,12,4,FALSE,,24.91666667,8,0,FALSE,0,SP3,2141
6782,AHR,0.00272781,0.32869081,0.16363636,5,12,8,FALSE,,26.09090909,4,1,FALSE,0,AHR,1528
6880,EPAS1,0.00268764,0.24634656,0.07142857,6,8,6,FALSE,,18.71428571,2,1,FALSE,0,EPAS1,1516
6948,HDAC7,0.00266379,0.33427762,0.08928571,5,8,4,FALSE,,23.625,4,0,FALSE,0,HDAC7,1859
7065,NKX3-1,0.00260428,0.33522727,0.10714286,5,9,6,FALSE,,27.25,3,1,FALSE,0,NKX3-1,1837
7002,LEF1,0.00257549,0.36419753,0.07692308,5,14,5,FALSE,,20.28571429,9,0,FALSE,0,LEF1,1257
7130,RUNX2,0.0025053,0.34104046,0.07777778,5,12,8,FALSE,,19.3,4,2,FALSE,0,RUNX2,1221
6814,ATM,0.00235204,0.34302326,0.08333333,5,10,8,FALSE,,24.11111111,2,1,FALSE,0,ATM,1614
7271,ZEB1,0.00230871,0.28992629,0.05555556,5,10,8,FALSE,,14.7,2,0,FALSE,0,ZEB1,1167
6993,KLF5,0.00224848,0.27764706,0.06666667,6,6,2,FALSE,,25,4,0,FALSE,0,KLF5,1192
6930,GATA3,0.00223362,0.36875,0.06363636,5,14,8,FALSE,,22.81818182,6,3,FALSE,0,GATA3,1613
6915,FOXA1,0.00223014,0.34005764,0.25,5,9,4,FALSE,,38.33333333,5,0,FALSE,0,FOXA1,1533
6838,CREM,0.00216718,0.30649351,0.25,5,6,3,FALSE,,31.8,3,1,FALSE,0,CREM,816
6976,IRF1,0.00203066,0.35435435,0.1978022,5,15,8,FALSE,,28.07142857,7,1,FALSE,0,IRF1,1392
7213,TCF7L2,0.00201515,0.33618234,0.125,5,10,5,FALSE,,24.77777778,5,1,FALSE,0,TCF7L2,1005
6828,CEBPA,0.00192056,0.31466667,0.15277778,5,10,7,FALSE,,25.33333333,3,1,FALSE,0,CEBPA,1518
7183,SRF,0.00180738,0.30434783,0.05555556,5,9,5,FALSE,,13.88888889,4,0,FALSE,0,SRF,673
6794,ARNT,0.00180501,0.36085627,0.23809524,5,9,3,FALSE,,29.57142857,6,2,FALSE,0,ARNT,1151
6801,ATF1,0.00165351,0.24532225,0.04761905,6,7,2,FALSE,,15,5,0,FALSE,0,ATF1,768
6830,CIITA,0.00163107,0.29873418,0.05454545,5,13,9,FALSE,,13.63636364,4,2,FALSE,0,CIITA,1006
6806,ATF2,0.00160525,0.35649547,0.04761905,5,7,4,FALSE,,24.71428571,3,0,FALSE,0,ATF2,707
6922,FOXO3,0.00157691,0.31382979,0.20833333,5,10,7,FALSE,,30.33333333,3,1,FALSE,0,FOXO3,1158
7074,PARP1,0.00154501,0.36875,0.16666667,5,10,3,FALSE,,31.5,7,0,FALSE,0,PARP1,1002
7031,MYCN,0.00153498,0.32506887,0.05514706,5,17,14,FALSE,,15.64705882,3,0,FALSE,0,MYCN,1192
6920,FOXO1,0.00139659,0.31299735,0.06666667,5,6,4,FALSE,,15.66666667,2,0,FALSE,0,FOXO1,907
